ACCNTNUM,ACCNTNAME,ACCGRPNAME,UWRITRNAME,PRODID,BRANCHNAME,PRODNAME,CEDANTID,CEDANTNAME,POLICYNUM,LOBNAME,INCEPTDATE,EXPIREDATE,UNDCOVAMT,UNDCOVCUR,PARTOF,PARTOFCUR,POLICYTYPE,POLICYSTRUCTURE,MINDEDAMT,MINDEDCUR,MAXDEDAMT,MAXDEDCUR,BLANDEDAMT,BLANDEDCUR,BLANLIMAMT,BLANLIMCUR,BLANPREAMT,BLANPRECUR,COMBINEDLIM,COMBINEDLCUR,COMBINEDDED,COMBINEDDCUR,COMBINEDPREM,COMBINEDPCUR,COVBASE,LIMITGU,USERDEF1,USERDEF2,USERDEF3,USERDEF4,USERTXT1,USERTXT2,POLICYUSERTXT1,POLICYUSERTXT2,POLICYUSERTXT3,POLICYUSERTXT4
2AR 1914592_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1914592 02,,ASST,ASST,2AR 1914592_24_1,xScotia xLending,2025-01-18,2026-01-18,0,USD,207093,USD,2,1,0,USD,0,USD,0,USD,207093,USD,1491,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,1BN8,CHO,ASIC,ASIC
2AR 1919522_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1919522 02,,ASST,ASST,2AR 1919522_24_1,xScotia xLending,2025-01-21,2026-01-21,0,USD,137737,USD,2,1,0,USD,0,USD,0,USD,137737,USD,992,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,1CY1,CHO,ASIC,ASIC
2AR 1921115_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1921115 02,,ASST,ASST,2AR 1921115_24_1,xScotia xLending,2025-01-21,2026-01-21,0,USD,86759,USD,2,1,0,USD,0,USD,0,USD,86759,USD,663,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,1BN8,CHO,ASIC,ASIC
2AR 1922721_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1922721 02,,ASST,ASST,2AR 1922721_24_1,xScotia xLending,2025-01-29,2026-01-29,0,USD,122884,USD,2,1,0,USD,0,USD,0,USD,122884,USD,885,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1924718_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1924718 02,,ASST,ASST,2AR 1924718_24_1,xScotia xLending,2025-01-31,2026-01-31,0,USD,137297,USD,2,1,0,USD,0,USD,0,USD,137297,USD,989,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1930718_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1930718 02,,ASST,ASST,2AR 1930718_24_1,xScotia xLending,2025-02-01,2026-02-01,0,USD,117047,USD,2,1,0,USD,0,USD,0,USD,117047,USD,843,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,01J0,CHO,ASIC,ASIC
2AR 1938311_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1938311 02,,ASST,ASST,2AR 1938311_24_1,xScotia xLending,2025-02-02,2026-02-02,0,USD,217482,USD,2,1,0,USD,0,USD,0,USD,217482,USD,1566,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,1CY1,CHO,ASIC,ASIC
2AR 1938361_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1938361 02,,ASST,ASST,2AR 1938361_24_1,xScotia xLending,2025-02-02,2026-02-02,0,USD,80974,USD,2,1,0,USD,0,USD,0,USD,80974,USD,618,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,1CY1,CHO,ASIC,ASIC
2AR 1945538_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1945538 02,,ASST,ASST,2AR 1945538_24_1,xScotia xLending,2025-02-05,2026-02-05,0,USD,194905,USD,2,1,0,USD,0,USD,0,USD,194905,USD,1403,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,1BN8,CHO,ASIC,ASIC
2AR 1956403_24_1,Lender Placed Hazard,Lender Placed Hazard,,,2AR 1956403 02,,ASST,ASST,2AR 1956403_24_1,xScotia xLending,2025-02-13,2026-02-13,0,USD,94018,USD,2,1,0,USD,0,USD,0,USD,94018,USD,718,USD,0,USD,0,USD,0,USD,0,0,Puerto Rico - HU - xScotia xLending,NO,NA,01,Lender Placed,LEND,1CY1,CHO,ASIC,ASIC
